eNodeB ID,eNodebName,小区号,长码(小区CI）,CellName,网络类型,longitude,LATITUDE,覆盖类型
601094,安康宁陕分公司楼下主营业厅-HLW-AKAI104TL,AKAI104TL-0,153880070,安康宁陕分公司楼下主营业厅-HLW-AKAI104TL-0,lte,108.309444,33.313055,室分
601095,安康岚皋分公司楼下主营业厅-HLW-AKAI105TL,AKAI105TL-0,153880326,安康岚皋分公司楼下主营业厅-HLW-AKAI105TL-0,lte,108.898333,32.311666,室分
601095,安康岚皋分公司楼下主营业厅-HLW-AKAI105TL,AKAI105TL-1,153880327,安康岚皋分公司楼下主营业厅-HLW-AKAI105TL-1,lte,108.898333,32.311666,室分
601097,安康平利分公司楼下主营业厅-HLW-AKAI107TL,AKAI107TL-0,153880838,安康平利分公司楼下主营业厅-HLW-AKAI107TL-0,lte,109.358333,32.39,室分
601091,安康恒口营业厅-HLW-AKAI101TL,AKAI101TL-0,153879302,安康恒口营业厅-HLW-AKAI101TL-0,lte,108.768055,32.738888,室分
601099,安康旬阳移动公司营业厅2厅-HLW-AKAI109TL,AKAI109TL-0,153881350,安康旬阳移动公司营业厅2厅-HLW-AKAI109TL-0,lte,109.360277,32.836388,室分
600990,安康汉滨丁字街-HLH-AKAO031TLFD,AKAO031TL-0,153853440,汉滨丁字街-HLH-AKAO031TL-0,lte,109.031111,32.70361111,宏站
600990,安康汉滨丁字街-HLH-AKAO031TLFD,AKAO031TL-1,153853441,汉滨丁字街-HLH-AKAO031TL-1,lte,109.031111,32.70361111,宏站
600990,安康汉滨丁字街-HLH-AKAO031TLFD,AKAO031TL-2,153853442,汉滨丁字街-HLH-AKAO031TL-2,lte,109.031111,32.70361111,宏站
600981,安康市汉滨区三局技校-HLH-AKAO022TLFD,AKAO022TL-0,153851136,汉滨三局技校-HLH-AKAO022TL-0,lte,109.014791,32.699286,宏站
600981,安康市汉滨区三局技校-HLH-AKAO022TLFD,AKAO022TL-1,153851137,汉滨三局技校-HLH-AKAO022TL-1,lte,109.014791,32.699286,宏站
600981,安康市汉滨区三局技校-HLH-AKAO022TLFD,AKAO022TL-2,153851138,汉滨三局技校-HLH-AKAO022TL-2,lte,109.014791,32.699286,宏站
601015,安康汉滨三局kh-HLH-AKAO056TLFD,AKAO056TL-0,153859840,汉滨三局机关-HLH-AKAO056TL-0,lte,109.004722,32.70305556,宏站
601015,安康汉滨三局kh-HLH-AKAO056TLFD,AKAO056TL-1,153859841,汉滨三局机关-HLH-AKAO056TL-1,lte,109.004722,32.70305556,宏站
601015,安康汉滨三局kh-HLH-AKAO056TLFD,AKAO056TL-2,153859842,汉滨三局机关-HLH-AKAO056TL-2,lte,109.004722,32.70305556,宏站
601072,安康汉滨三桥北桥头-HLH-AKAO139TLFD,AKAO139TL-0,153874432,汉滨三桥北桥头-HLH-AKAO139TL-0,lte,109.000833,32.68388889,宏站
601072,安康汉滨三桥北桥头-HLH-AKAO139TLFD,AKAO139TL-1,153874433,汉滨三桥北桥头-HLH-AKAO139TL-1,lte,109.000833,32.68388889,宏站
601072,安康汉滨三桥北桥头-HLH-AKAO139TLFD,AKAO139TL-2,153874434,汉滨三桥北桥头-HLH-AKAO139TL-2,lte,109.000833,32.68388889,宏站
600964,安康汉滨世纪新村-HLH-AKAO005TLFD,AKAO005TL-0,153846784,汉滨世纪新村-HLH-AKAO005TL-0,lte,109.016111,32.68777778,宏站
600964,安康汉滨世纪新村-HLH-AKAO005TLFD,AKAO005TL-1,153846785,汉滨世纪新村-HLH-AKAO005TL-1,lte,109.016111,32.68777778,宏站
600964,安康汉滨世纪新村-HLH-AKAO005TLFD,AKAO005TL-2,153846786,汉滨世纪新村-HLH-AKAO005TL-2,lte,109.016111,32.68777778,宏站
600997,安康汉滨东关小学-HLH-AKAO038TLFD,AKAO038TL-0,153855232,汉滨东关小学-HLH-AKAO038TL-0,lte,109.0275,32.704444,宏站
600997,安康汉滨东关小学-HLH-AKAO038TLFD,AKAO038TL-1,153855233,汉滨东关小学-HLH-AKAO038TL-1,lte,109.0275,32.704444,宏站
